"",text,original_label,correct_label,emoji_label,emoji_annotation_label1,emoji_annotation_label2,annotation_label1,annotation_label2
1578,My Weekdays... #DJLIFE @user @ UNION,10,1,📷,📷,📷,1,1
451,"Lights up @ Lake Stevens, Washington",5,3,😊,🔥,📷,0,1
195,working in the summer for sure now,5,3,😊,😊,😊,3,3
2624,Black Friday by Kendrick,4,0,🔥,😊,🔥,3,0
2328,Beautiful Sister Cassandra is a powerhouse! Thank you for delivering a transparent word on…,4,0,🔥,😊,🔥,3,0
1656,"me, some months ago in a place I've never been - no plans are good plans, thanks rhombie @user",10,1,📷,😊,😊,3,3
1691,LA douchebag who wears his sunglasses at night • tag someone who does this • by @user,10,1,📷,📷,😜,1,2
2770,"Big Fella's Sessions.. Def Jams own @user @ North Hollywood,…",4,0,🔥,📷,😊,1,3
391,Tomorrow is on!!,5,3,😊,😊,🔥,3,0
2345,New urinal mats @user SAVAGE @ Night + Market Song,4,0,🔥,📷,📷,1,1
2836,We Three Qweenz comin at u wit our classic Christmastime rap. Hot joint yo Thanks…,4,0,🔥,😊,😊,3,3
1294,What a great Blind date you were Billie Daly I mean @user I…,19,2,😜,😊,😊,3,3
778,$40 snags it! I'm trying sooooo hard to get ahead of myself before the Vegas l show in…,19,2,😜,😊,🔥,3,0
1795,"""I don't think there is ever a wrong time for a polka dot."" - Marc Jacobs by…",10,1,📷,😊,🔥,3,0
399,When you are tired or discouraged Have you turned to look. I will always behind My J #KAI…,5,3,😊,😊,😜,3,2
221,"After 8yrs of @user in Sherman Oaks, today is my last 'regular' class. Very bittersweet. Thank u @user 4 making me start",5,3,😊,😊,😊,3,3
1505,Fun day of skating. Front nosegrind. Thanks for the photo svrbtz #skateboarding @user,10,1,📷,📷,📷,1,1
1315,Best friend gets to be a zag for the night #BattleInSeattle @ KeyArena at Seattle Center,19,2,😜,📷,😊,1,3
1508,"When you get to test out your new lens @ Modesto, California",10,1,📷,📷,📷,1,1
234,"Michael is going to be pleased (at @user in Los Angeles, CA)",5,3,😊,📷,😊,1,3
539,"About last night @ Kensington, San Diego",5,3,😊,📷,😊,1,3
1134,#atthelakersgame with the hubs! @ Lakers Vs Spurs Staples Center,19,2,😜,📷,🔥,1,0
347,Had so much fun at the parks yesterday with almagrisel !!! One of my favorite visits here's to…,5,3,😊,😊,🔥,3,0
1527,"""Wicked Seduction"" Editorial photos NOW in Oct. issue of imiragemagazine + Model: Andrea…",10,1,📷,📷,📷,1,1
1431,Lulu boy hanging out at the bar (at @user [pic] —,19,2,😜,📷,😊,1,3
2280,Bring back the original. #worldofcolor # @ Mickey's Fun Wheel,4,0,🔥,😊,📷,3,1
2359,Nothing lie smoking what you grow Straight @ Southern…,4,0,🔥,📷,🔥,1,0
2483,Really hope @user makes more of this #5lbsledgehammer because it's #drinklocal #labeer…,4,0,🔥,📷,😊,1,3
1547,by: @user Go follow @user @ LA River,10,1,📷,📷,😜,1,2
104,"""Want beautiful full brows? Been doing her eyebrows for over 10 years and always maintained…",5,3,😊,😊,😊,3,3
1937,Me + awkwardness + nature. via my snapchat story. @ 17-Mile Drive,10,1,📷,📷,😜,1,2
1263,Love u #raverincrime #plursace @ Exchange LA,19,2,😜,📷,😜,1,2
1532,1 hander #tbt #bmx love this trick but not on spines. @user #rockstarlife @ Woodward Park,10,1,📷,📷,🔥,1,0
1754,Weekend morning musings with mrporterlive // : sherreenl @ Winsor Hills,10,1,📷,📷,😊,1,3
215,Thank you @user killin it. Almost there! #stomachtattoo #tattoo #anchortattoo…,5,3,😊,😊,📷,3,1
2942,"@ East Oakland, CA",4,0,🔥,📷,😊,1,3
1731,my most favorite... #GiselleKeilani #dadlife #daddysgirl pc : @user @ Golden Gate Fields,10,1,📷,📷,📷,1,1
2600,Very lucky to live near @user (stayed #whole30 by skipping sides and sauce) #eater…,4,0,🔥,😊,😊,3,3
98,Back to business #andrewchristian #andrewchristianboys #andrewchristianintl…,5,3,😊,😊,🔥,3,0
1334,One of these is not like the other. Game day with the viejos!…,19,2,😜,😊,🔥,3,0
704,Looking for Low Carb? That grilled Thai Satay chicken and steamed veggies fit the bill …,5,3,😊,😊,😊,3,3
2319,#ExchangeLA Get $5 OFF At March 10th #BASSRUSH pres #AndyC 3 HOUR…,4,0,🔥,🔥,🔥,0,0
2023,"Fun first day in California with nicpollock and @user ( by Ang) @ Ocean Beach, San Francisco",10,1,📷,📷,📷,1,1
1911,Santa Claus is coming to town? Happy Friday from Sonoma! @user #experiencesonomavalley…,10,1,📷,😊,😜,3,2
2271,@ Macroplaza,4,0,🔥,📷,😊,1,3
369,My weekend in a nutshell. #starwars #theforceawakens #episodevii #movies #family #friends…,5,3,😊,📷,🔥,1,0
2390,delivery to Pristine Backyard in #Meridian #Idaho today. #MadeInTheUSA #fire #firetable…,4,0,🔥,🔥,😜,0,2
1305,"My store #M&amp;M @ M &amp; M World Las Vegas, Nevada",19,2,😜,📷,😊,1,3
238,"My grandchildren make my heart full and happy #happythankgiving @ Colton, Colton, California",5,3,😊,😊,😊,3,3
2016,Showin Tats NO JEWELER w/ @user @user Photo By @user,10,1,📷,📷,📷,1,1
2132,• 'ain't no point in smoking if your heart ain't open' • :…,10,1,📷,😜,🔥,2,0
1367,It should be 8's white @ Grimmauld Place,19,2,😜,📷,😊,1,3
1016,Yo Pops! I'm keeping this hat #GSW #DubNation #GoldenStateWarriors #GoldenStateOfMind #Warriors…,19,2,😜,📷,😜,1,2
88,"Last dinner with mom, before she flies back to the PH. @ Umenoya",5,3,😊,😊,😊,3,3
551,Big thank you for the warm welcome Lacad Family. Merry CHRISTmas to all!…,5,3,😊,😊,😊,3,3
1147,Yes I have become one of THOSE people but no matter what I love…,19,2,😜,😊,😊,3,3
541,Down in LBC waiting for my son to get his morning workout grind in @ Starbucks,5,3,😊,📷,😜,1,2
1179,Delay to Las Vegas....had to stop and get my son's Jordan's that released at 6am!!!!!! …,19,2,😜,😜,🔥,2,0
2026,"Downtown Portland. by evanwk @ Portland, Oregon",10,1,📷,📷,📷,1,1
1927,"Keepin it chilly in my snow suit : @user @ Kyburz, California",10,1,📷,📷,😊,1,3
2503,#tb #red repostit_app @ Hollywood Hills,4,0,🔥,📷,📷,1,1
898,#TheOscars @ The Academy,19,2,😜,📷,📷,1,1
930,"Yup give me 2 of these please, don't call me for a week #champagne #veuveclicquot #telax…",19,2,😜,😜,🔥,2,0
973,DISNEYLAND SQUAD @ Disneyland,19,2,😜,📷,😜,1,2
604,"Friday Chuck's... #chucktaylor @ Kennewick, Washington",5,3,😊,📷,😊,1,3
2744,Set times for tonight! 9:30 - @user 10:30 - @user @ Bootleg Theater,4,0,🔥,🔥,🔥,0,0
2318,#ExchangeLA Get $5 OFF At March 11th #FeedMEGet $ 5off with promocode:…,4,0,🔥,📷,😊,1,3
723,Great meeting the talented @user #canmyeyesgetanysmaller #aremyeyesopenorclosed @user,5,3,😊,📷,📷,1,1
548,@user I drink it black most the time but during the holidays I love peppermint mocha,5,3,😊,😊,😊,3,3
1599,Check out my radio show it's called People Behaving Proudly- Big Mike Contax T2 || fuji…,10,1,📷,😊,😊,3,3
291,Positivity all around me #goals #alwayslookingup #capricornseasonapproaching @ Cedars-Sinai…,5,3,😊,📷,🔥,1,0
1564,#tbt waking up on the PCH @user @ Half Moon Bay Beach,10,1,📷,📷,😊,1,3
1306,#LAish @ Venice Beach,19,2,😜,📷,📷,1,1
2551,And it was lit! # #weezerandpanicatthedisco #music #concert #life @ Shoreline Amphitheatre At…,4,0,🔥,📷,😊,1,3
2329,When you slay there makeup and there feeling lit beeeeznutz @user // Hair: @user,4,0,🔥,😊,😊,3,3
1105,"Cyrus just learned this is ""Top 10 Things Most People Can't Do ""…",19,2,😜,😜,🔥,2,0
763,#vegas #throwback wish I had a better quality 1! @ Palms Place Luxury Suite Rentals,19,2,😜,😊,😊,3,3
2436,@ Grand Theater - the Grand Sierra Resort and Casino,4,0,🔥,📷,📷,1,1
766,"Nothing beats a slice of za, done the right way (east coast style ) @ Bronx Pizza Inc",19,2,😜,😊,😜,3,2
1909,misssarah.a in our assymetrical coral silk dress . Wear it off the shoulder for a sexy vibe! …,10,1,📷,😊,😜,3,2
1255,Spring break 2016 was good to us. Whos ready for midterms? @ Los Angeles City Hall,19,2,😜,😊,🔥,3,0
2959,"The new 7"" from yangamusic is total fire !!! Order now the limited edition at @user",4,0,🔥,🔥,🔥,0,0
1370,Hope 4 Us . Small Group Selfie #F1030Squad #FuseJrHigh #CentralHenderson…,19,2,😜,📷,📷,1,1
1419,my family having some real fun at Universoul Circus ... Blast!!! @user,19,2,😜,🔥,🔥,0,0
487,Hoping to spend tonight with my baby,5,3,😊,😊,😊,3,3
169,Thank you Eldine for the GREAT REVIEW! CHECK OUT MORE OF OUR REVIEWS AT YELP &amp; FACEBOOK! Love…,5,3,😊,😊,😊,3,3
567,Happy Thanksgiving 2015 from my family to yours!! Enjoy. Buen Provecho.…,5,3,😊,😊,😊,3,3
2053,Wedding Party Wednesday!! figlewiczphotography #stemsbykateweddings #weddingwednesday…,10,1,📷,📷,📷,1,1
2081,"""In the desert we drink Cactus Water"" repost: thenatebrown @ Ace Hotel &amp; Swim Club",10,1,📷,😊,😊,3,3
1970,"Rollin with OG competitor Baret Yoshida || by grappletv @ San Diego, California",10,1,📷,📷,😊,1,3
1963,On set at Joshua Tree National park. @ Joshua Tree National Park,10,1,📷,📷,📷,1,1
1430,Views of cities are always better when standing on the edge of hiking walls... @ Hollywood Hills,19,2,😜,📷,😊,1,3
1022,#1oaknation Happy Sunday everybody See You At the Four Seasons For Brunch @ 1 OAK Los Angeles,19,2,😜,😊,😊,3,3
2311,So thee #zioni tour for #thelabryth album which is all continues tonight in Sebastopol!…,4,0,🔥,😊,🔥,3,0
2148,DJI #Phantom4 taking in a San Francisco sunset. by @user @ Kite Hill,10,1,📷,📷,😜,1,2
1643,Aaron rehearsing his part with Cam before going in to record. @user #TruthStudios …,10,1,📷,📷,📷,1,1
1295,"@user reppin hard with the @user tatt @ Los Angeles, California",19,2,😜,🔥,🔥,0,0
1061,"#winning I love ""the D"" @ the D Las Vegas",19,2,😜,😊,😊,3,3
2160,"Oh Christmas tree, oh Christmas tree @user @ Old Sacramento",10,1,📷,📷,📷,1,1
1416,Doing great in my bubble. #bubble #bts #pressplay @ Hollywood,19,2,😜,😊,🔥,3,0
2746,The Q&amp;A was heartfelt and real. Or as kids these days say: it was lit. @ Gray Area Art +…,4,0,🔥,😊,😊,3,3
362,insta_sammmm first yoga class this morning @ Bikram Yoga San Clemente,5,3,😊,😊,📷,3,1
2668,When antzy_ngo and I turned a nice wedding in to a club #wedding #djlife #partylife #clublife…,4,0,🔥,😊,📷,3,1
614,"The happiest place on earth! #disneyland (at @user in Anaheim, CA)",5,3,😊,😊,😊,3,3
792,Let's get campy at @user Sumer Camp Etsy craft party. I'll be doing these super…,19,2,😜,😊,😜,3,2
1071,Every cutie with a booty bought a Coogi (haaah!) #90sFlow @user,19,2,😜,😊,😜,3,2
343,Look who's enjoying the view! .#elfontheshelf #elf #elfie #takingintheview #soakingitin…,5,3,😊,📷,📷,1,1
1723,Pictures: for the moments you forgot or never even knew occurred #squad #vegas #tbt #nbk # #MGM @user,10,1,📷,📷,📷,1,1
1803,Birdseye View of my office from this evening at Atomic GasLamp. :…,10,1,📷,📷,🔥,1,0
842,Amil showing off New gear @ Brookvale Elementary,19,2,😜,😊,📷,3,1
570,Wish I had a little kid - @ Guitar Center,5,3,😊,😊,😊,3,3
546,Infinity pool..... @ Post Ranch Inn,5,3,😊,📷,📷,1,1
261,On that #saturday morning #hike #fitness #healthylifestyle #healthyLiving #excersise #workout…,5,3,😊,📷,🔥,1,0
21,@user &amp; dirtmcgirt_tb first look! #meetthebaksas @user,5,3,😊,📷,📷,1,1
409,Bliss from Order. #lines #peaceamidstchaos #orderfromchaos #blackandwhite #leathershoes #black…,5,3,😊,📷,😜,1,2
873,Another day at the #office! #myjobisbetterthanyours #volleyball #volleyballgirls #beach…,19,2,😜,📷,😊,1,3
1320,My 1st bouldering/rock climbing adventure!!! It was so much fun!!!I'm hooked!!!Thank you…,19,2,😜,😊,🔥,3,0
1462,Violet-grey/silver color melt (looks better in person )…,19,2,😜,😊,😊,3,3
1811,Home is where the natural light is. by @user #highlandpark #losangeles #eastsidebadals…,10,1,📷,📷,📷,1,1
2730,#feedme was epic last night #exchangeLA @ Exchange LA,4,0,🔥,📷,😊,1,3
2706,Go Deeper with @user on track w/ @user #annieruotay5 @ Hollywood Walk of Fame,4,0,🔥,📷,🔥,1,0
474,@user sweet. Hope I do too.,5,3,😊,😊,😜,3,2
2159,"More to come by @user From left to right; @user @user brandonhaddow,…",10,1,📷,😊,😜,3,2
460,@user I admire your bio.,5,3,😊,😊,😊,3,3
2558,Tonight me and rati_kid turning up for my fam @user show with @user @ Los…,4,0,🔥,😊,📷,3,1
227,TVs for everyone #mediaartslab #happyholidays Thanks MAL! @ Media Arts Lab,5,3,😊,😊,😊,3,3
800,I like to dip! #saucy #chickfila @user #flavortown #dipit @ Chick-fil-A Hopyard Road &amp; 580,19,2,😜,😊,🔥,3,0
992,Hahaha Brady regrets the interception #patriots #buffalo #nflmonday @ Buffalo Wild Wings,19,2,😜,😜,🔥,2,0
2968,My top catches of the day. ...#pokemonGO #pokemon #arcanine #onix #omanite #bellevue…,4,0,🔥,📷,😊,1,3
2893,"Heater set to 100 degrees (@ Starbucks in Anaheim, CA)",4,0,🔥,🔥,🔥,0,0
1930,The waves won...I put up a good fight though... iceavelli #losangeles #california #beach…,10,1,📷,😊,🔥,3,0
2366,I might needa use this fire extinguisher bc im on #fitness #doyouevenlift #gym #fire #squats…,4,0,🔥,🔥,🔥,0,0
327,Going to give myself a Christmas present and get my nape pierced again.,5,3,😊,😊,😜,3,2
840,"Michael's version of ""Blue Steele""... @ The Avondale",19,2,😜,📷,😊,1,3
1792,"Doing touristy things #SanFran @ Russian Hill, San Francisco",10,1,📷,📷,😊,1,3
1434,One of the places no one knows about @ Star Trek Exhibition,19,2,😜,😊,📷,3,1
2255,Lit AF @ Pico Rivera Sports Arena,4,0,🔥,📷,📷,1,1
1771,Catching that last bit of sun before winter officially comes.. by the delightful alexyael @user,10,1,📷,😊,🔥,3,0
18,"Couldn't ask for a better fishing partner #bestfriend travisbarden @ St Joe River, Avery",5,3,😊,😊,😊,3,3
155,Last night my BEAUTIFUL sister got married to the love of her life and I couldn't be happier …,5,3,😊,😊,📷,3,1
2963,"#Versace #Thursday @ Los Angeles, California",4,0,🔥,📷,🔥,1,0
1376,Excited to see gfunk2121 tearing it up at the wedding! These were just his starter moves! @user,19,2,😜,😊,📷,3,1
287,Monday is the perfect day to correct last weeks mistake Good morning!! #cookie4hair…,5,3,😊,😊,😊,3,3
1577,2016. : @user @ Trona Pinnacles,10,1,📷,📷,📷,1,1
1127,#drinkingcoffeeinstyle #starbucks His is hiw I drink my coffe . No…,19,2,😜,😊,😜,3,2
1040,Ohhhhhhh Vegas why so CRAZY #lasvegas #lovinglife #livinglife #asian #dancing #poledancing…,19,2,😜,😊,😜,3,2
1548,You really should. bambivenice @ CTRL Collective,10,1,📷,😊,🔥,3,0
1592,Earth's Color - 13 (W American Tectonic Plate Scar) …,10,1,📷,📷,😊,1,3
1118,#dailyemoji @ Joshua Tree National Park,19,2,😜,📷,😜,1,2
1457,Me and Lexi @ Chipotle,19,2,😜,📷,📷,1,1
509,"Xmas eve dinner (@ Bocanova in Oakland, CA)",5,3,😊,😊,📷,3,1
1246,Evil never looked so good. great meeting new friends at Dapper Day. #dapperdayspring2016…,19,2,😜,😊,😊,3,3
823,"Progress. Mostly her though marisa__24 @ Norwalk, California",19,2,😜,📷,😊,1,3
956,She like fuck it up sis im like fuck it up bitch,19,2,😜,😜,🔥,2,0
1159,@ The Buffet At Wynn,19,2,😜,📷,📷,1,1
1864,"JANET WEISS #rockyhorrorhipstershow // selashiloniphoto @ Los Angeles, California (North…",10,1,📷,📷,😜,1,2
2540,love of my life finally got that Oscar @ Dolby Theatre,4,0,🔥,😊,😊,3,3
1787,Getting down with the kids today @ Towngate Elementary,10,1,📷,😊,😊,3,3
2224,"Have you ever seen so many #sunset #selfies in #santamonica @ Santa Monica, California",10,1,📷,📷,📷,1,1
2412,You set the night on fire @ Oracle Arena and Oakland Alameda County Coliseum,4,0,🔥,🔥,🔥,0,0
2650,Details from last night's dinner @user . @ Herringbone,4,0,🔥,📷,📷,1,1
56,With Cameron Diaz last night celebrating the release of her new book! #funtimes #camerondiaz…,5,3,😊,📷,📷,1,1
1758,"Sun don't set the same 'less u watchin' it go down wit me : @user @ Los Angeles,…",10,1,📷,📷,😊,1,3
2684,Surf was firing today #SanDiego not this good but I still miss this more #Maui aka best right…,4,0,🔥,🔥,😜,0,2
847,That #sissyvacay (or #sissybootcamp depending on who you ask ) went by in a blur of…,19,2,😜,📷,😊,1,3
271,#Ube! That #purplestuff #ChefFelina #Filipino #dessert…,5,3,😊,📷,📷,1,1
447,sunny (-_-) but still wonderful @ Peet's Coffee &amp; Tea,5,3,😊,😊,😜,3,2
2804,Dropped 25 of these hoodies today for our CVLN and Friends warehouse sale! Roll through we…,4,0,🔥,😊,😜,3,2
970,"I talk a lot of shit...but good shit. . Thank you CHRIS BIRCH, my first $10/month subscriber!!!…",19,2,😜,😊,🔥,3,0
1695,"Setting standards, reaching new heights. : @user @ Pershing Square",10,1,📷,😊,😜,3,2
775,My #breakfast today a Southwest Scrambler plate and a Minute Maid orange juice #bomb at…,19,2,😜,📷,📷,1,1
1033,And then we have these two clowns! #bigbros #family #merrychristmas #love @ Baptista Estates,19,2,😜,📷,😊,1,3
1348,"As yoda would say...... Happy this kid, I made @ Star Tours - The Adventure Continues",19,2,😜,😊,😜,3,2
2626,@user is dropping #Bludfire on Friday December 18th! @ Temple SF,4,0,🔥,📷,😊,1,3
2883,S/o to @user and @user for the bday gift @ Adidas HQ,4,0,🔥,📷,😊,1,3
2457,Eyes Collide #Vamp_LA @ Downtown LA,4,0,🔥,📷,📷,1,1
226,Donald Trump with Orange Hair and My Little Rainbow Horse. These are Customize for our Clients …,5,3,😊,😊,😜,3,2
920,The random things you stumble upon while hiking in Escondido. #hiking #escondido #sanpasqual…,19,2,😜,😊,🔥,3,0
2820,Aston Men. @user astontalent #AstonModels #AstonTalent #AstonMen #MenOfAston…,4,0,🔥,📷,🔥,1,0
1331,Trolling @ Fremont Troll,19,2,😜,📷,😜,1,2
1015,"Selfie in front of my first Christmas tree! #merrychristmaseve @ Bellingham, Washington",19,2,😜,📷,📷,1,1
194,9th Annual Spring Golf Classic at MountainGate Country Club #beautifulday #mgcc @ MountainGate…,5,3,😊,😊,😊,3,3
2749,La Tigresa ownin the stage!!! @user @ El Rey,4,0,🔥,😊,😜,3,2
1133,My idea of cardio is lifting weights faster .#DNB #NeedMoreGainz #JACK3D #BeastMode #CrossFit…,19,2,😜,😊,🔥,3,0
297,@user draws caricatures at foursquare party! 12/2/2016 Fun Times …,5,3,😊,😊,😜,3,2
2021,black friday jaredsphotos @ Downtown Los Angeles,10,1,📷,😊,📷,3,1
2898,"#CollectCall #FreeStyle3 iamdemrick 10 days!!!! @ Anaheim,…",4,0,🔥,😊,🔥,3,0
1554,Print what you see w/ this cute lil' thang polaroid_zip (wall collage coming soon)…,10,1,📷,📷,😊,1,3
310,"Nice outing @user @ Hawthorne, California",5,3,😊,😊,🔥,3,0
693,#StarTalkLive backstage crew keeping up on monitors! great job to produce this show! @ Nourse…,5,3,😊,😊,🔥,3,0
1186,The Sphinx is the real thing in Vegas. @ Luxor Hotel and Casino,19,2,😜,😊,😜,3,2
1784,@user putting Smiles On Faces in Seattle last night! : @user,10,1,📷,📷,😊,1,3
662,Picked all the winning numbers. Just not in the right order. :) The winning numbers drawn were…,5,3,😊,😊,🔥,3,0
2887,"Mob #sports @ Washington High School (Fremont, California)",4,0,🔥,😊,📷,3,1
1090,PARTYNEXTDOOR round 2 @ The Masonic,19,2,😜,😊,😜,3,2
2870,"#linkinmybio @ Long Beach, California",4,0,🔥,📷,📷,1,1
2382,"Two days in a row of abs!! Feeling the burn! @ South Lake Tahoe, California",4,0,🔥,📷,🔥,1,0
2119,Too serious? Probably @user @ Belmont Park,10,1,📷,😜,📷,2,1
2792,@user JUST DROPPED NEW music RIGHT NOW FT famousdex #Ohh #Ohh #Ohh…,4,0,🔥,😊,😜,3,2
1640,@user Charlie charliecroughwell of earthsoceans and I discuss his 45 lb float bag…,10,1,📷,😊,🔥,3,0
1709,"Have a beautiful weekend friends, hope to see you soon! #poketoflagship :junniibug @ Poketo",10,1,📷,😊,📷,3,1
2438,Fire on this one! Custom by: Rudy Martinez #funko #attackontitan #kdempire @ K/D Empire Vinyl…,4,0,🔥,🔥,🔥,0,0
1946,Merry Christmas!!! credit: @user @ Hole In The Ground,10,1,📷,😊,😊,3,3
1420,Happy Monday!! All smiles!! Loving the dune even if I am stuck in the office. #Monday #mood…,19,2,😜,😊,😊,3,3
1388,Replaced the pitch bend in my studio's keyboard controller today...and it still works! …,19,2,😜,😊,😜,3,2
2025,"VENICE BEACH @ Los Angeles, California",10,1,📷,📷,📷,1,1
1972,Christmas love. @user #blessed #family #couple #love #familia #kiss #romance #campo…,10,1,📷,😊,😊,3,3
2577,shredted @ Vans Off the Wall Skate Park,4,0,🔥,😜,📷,2,1
1329,E BURG!! We coming to get Flagrant with y'all the Moose Lodge April 8th!!! …,19,2,😜,😊,😜,3,2
2304,This weekend and next weekend at @user Going big with @user on Saturday with…,4,0,🔥,😊,🔥,3,0
2702,Sorry for the wait.. Rare Living Hoodie on the way ! Got for…,4,0,🔥,😊,🔥,3,0
2417,@ The Lakes Summerlin,4,0,🔥,📷,📷,1,1
2962,It's almost Friday! Be fierce with your natural locks @ Knstruct,4,0,🔥,😊,🔥,3,0
2704,S/o to @user has some new for #2017 #livingmydreams #lmd @ Revolt TV,4,0,🔥,😊,😊,3,3
547,Come let Corina cook you lunch today @ Canele,5,3,😊,😊,😊,3,3
2338,Influential #ThrowbackThursday50 Cent &amp; The Game @user @user Trendsetting Out The…,4,0,🔥,😊,🔥,3,0
703,"Hello my little adventure cat ️ @ Caldwell, Idaho",5,3,😊,📷,😊,1,3
560,"To beaches and Moms @ Carmel Beach California, Pacific Ocean",5,3,😊,📷,📷,1,1
2220,"Happy day y'all, enjoy it and share it with your people! : @user #happythanksgiving #sf @user",10,1,📷,😊,😜,3,2
1481,The shade of it ALL! #bestfrienddd @ The Abbey Weho,19,2,😜,😊,😜,3,2
1855,by my @user #happy #losangeles #california #love #melrose #hollywood #staytrue…,10,1,📷,📷,📷,1,1
54,Nothing makes me happier than a follow up note after a wedding! #wedding #weddinghair…,5,3,😊,😊,😊,3,3
705,#morning #lattelove #stumptown #HB #AdamsAve #espressohouse @ MoMa Coffee in OC,5,3,😊,📷,😊,1,3
848,These are the socks I wore today to represent #legday and @user who knew…,19,2,😜,📷,😜,1,2
1642,Bluesy folk rock with cavesingers tonight at @user #chbp #chbp2016 : @user @ The…,10,1,📷,😊,🔥,3,0
282,Favorite human at the #giants game in #sanfrancisco He makes me happy . #sanfranciscogiants…,5,3,😊,📷,😊,1,3
1411,About dat #Dab on em' uva day... #SorryNotSorry#Shad#ayyyeee #ParrisianLife #ParrisFranz…,19,2,😜,📷,😜,1,2
1552,"Wake up, walk across the street. Repeat. @user @ Venice Beach, California",10,1,📷,📷,😊,1,3
1618,Backpacking Adventures in Big Basin. ( jzhengimin) @ Big Basin Redwoods State Park,10,1,📷,😊,🔥,3,0
384,"she jumped up on my lap, got in my face till I gave her love, yawned, jumped back off. typical …",5,3,😊,😊,😊,3,3
1162,#tbt #sometimesiwearclothes #sometimesiwearclothes photo by @user #beYourself…,19,2,😜,📷,📷,1,1
1318,"#addiction is tough but I kicked it! That #hokeypokey is tough stuff! @ San Francisco,…",19,2,😜,😜,🔥,2,0
1247,Well you guys.... It was super fun! Birthday is now over ( in Vegas ) now it's time for us to…,19,2,😜,😊,😜,3,2
2200,"Living in my dream city, Los Angeles. : fd_photo_and_video @ LA River",10,1,📷,📷,📷,1,1
951,HOME MEET tonight at 6! The first 250 students get a free acro shirt @ Matthew Knight Arena,19,2,😜,😊,😜,3,2
48,"Class at last minute, see you guys later @ The Art Institute of California - Inland Empire",5,3,😊,😊,😊,3,3
2659,This lineup is !! Call or text 702-376-6531 for VIP cabana and table service @user,4,0,🔥,😊,😊,3,3
1910,We found a secret #Photobooth @ OMNIA San Diego,10,1,📷,😊,📷,3,1
626,At the happiest place on Earth... @ Disneyland,5,3,😊,😊,😊,3,3
1398,"Boxing Day. Crowd is incredible. As in multitude-ness (@ Moon &amp; Sixpence in Portland, OR)",19,2,😜,📷,🔥,1,0
2178,"Getting that shot. @ Los Angeles, California",10,1,📷,📷,📷,1,1
2321,#LilJon debuts with a special DJ set performs at #1OakLV tonight! T‌ext me at…,4,0,🔥,😊,😜,3,2
